UUNITS = MILLIMETERS
RefDes               Layer      MidX          MidY         Rotation     Footprint
D8                   BOTTOM     1.2500         8.7500        0          LED-0603            
D80                  BOTTOM     26.2500       28.7500        0          LED-0603            
D81                  BOTTOM     26.2500       26.2500        0          LED-0603            
D82                  BOTTOM     26.2500       23.7500        0          LED-0603            
D83                  BOTTOM     26.2500       21.2500        0          LED-0603            
D84                  BOTTOM     21.2500       38.7500        0          LED-0603            
D85                  BOTTOM     21.2500       23.7500        0          LED-0603            
D86                  BOTTOM     23.7500       38.7500        0          LED-0603            
D87                  BOTTOM     26.2500       38.7500        0          LED-0603            
D88                  BOTTOM     26.2500       36.2500        0          LED-0603            
D89                  BOTTOM     28.7500       38.7500        0          LED-0603            
D9                   BOTTOM     1.2500         6.2500        0          LED-0603            
D90                  BOTTOM     28.7500       36.2500        0          LED-0603            
D91                  BOTTOM     28.7500       33.7500        0          LED-0603            
D92                  BOTTOM     28.7500       31.2500        0          LED-0603            
D93                  BOTTOM     28.7500       28.7500        0          LED-0603            
D94                  BOTTOM     28.7500       26.2500        0          LED-0603            
D95                  BOTTOM     28.7500       23.7500        0          LED-0603            
D96                  BOTTOM     28.7500       21.2500        0          LED-0603            
D97                  BOTTOM     31.2500       38.7500        0          LED-0603            
D98                  BOTTOM     31.2500       36.2500        0          LED-0603            
D99                  TOPTOM     31.2500       33.7500        0          LED-0603            
Q1                   TOP        9.1281        14.9638        0          SOT563              
Q10                  TOP        26.9349       30.5838        0          SOT563              
Q11                  TOP        35.3697       35.1136        0          SOT563              
Q12                  TOP        32.5581       35.1136        0          SOT563              
Q13                  TOP        29.7465       35.1136        0          SOT563              
Q14                  TOP        26.9349       35.1136        0          SOT563              
Q15                  TOP        35.3697       30.5838        0          SOT563              
Q16                  TOP        32.5581       30.5838        0          SOT563              
Q17                  TOP        9.1281        30.5838        0          SOT563              
Q18                  TOP        12.2521       30.5838        0          SOT563              
Q19                  TOP        12.2521       35.1136        0          SOT563              
Q2                   TOP        12.0959       14.9638        0          SOT563              
Q20                  TOP        9.2843        35.1136        0          SOT563              
Q21                  TOP        6.3165        35.1136        0          SOT563              
Q22                  TOP        3.3487        35.1136        0          SOT563              
Q23                  TOP        3.3487        30.5838        0          SOT563              
Q24                  TOP        6.3165        30.5838        0          SOT563              
Q25                  TOP        29.7465        2.4678        0          SOT563              
Q26                  TOP        26.7787        2.4678        0          SOT563              
Q27                  TOP        26.7495        6.0000        0          SOT563              
Q28                  TOP        29.7495        6.0000        0          SOT563              
Q29                  TOP        32.5495        6.0000        0          SOT563              
Q3                   TOP        12.0959       19.9622        0          SOT563              
Q30                  TOP        35.2495        6.0000        0          SOT563              
Q31                  TOP        35.2135        2.4678        0          SOT563              
Q32                  TOP        32.5581        2.4678        0          SOT563              
Q4                   TOP        9.1281        19.9622        0          SOT563              
Q5                   TOP        6.3165        19.9622        0          SOT563              
Q6                   TOP        3.5049        19.9622        0          SOT563              
Q7                   TOP        3.5049        14.9638        0          SOT563              
Q8                   TOP        6.3165        14.9638        0          SOT563              
Q9                   TOP        29.7465       30.5838        0          SOT563              
R37                  TOP        27.4320       16.8910        0          EIA0402             
R38                  TOP        28.0670       17.9070        0          EIA0402             
R39                  TOP        28.0670       18.7960        0          EIA0402             
R40                  TOP        28.0670       19.6850        0          EIA0402             
R41                  TOP        28.0670       20.5740        0          EIA0402             
R42                  TOP        28.0670       21.4630        0          EIA0402             
R43                  TOP        3.2000        16.4000      180          EIA0402             
R44                  TOP        23.3680       11.4300      270          EIA0402             
R45                  TOP        24.2000       30.9000      270          EIA0402             
R46                  TOP        24.0000       35.8000        0          EIA0402             
R47                  TOP        23.9000       36.8000        0          EIA0402             
R48                  TOP        21.7000       39.2000        0          EIA0402             
R49                  TOP        29.4000       36.5000      180          EIA0402             
R50                  TOP        26.7000       36.5000      180          EIA0402             
R51                  TOP        25.5000       27.6000      270          EIA0402             
R52                  TOP        23.3000       30.1000       90          EIA0402             
R53                  TOP        23.4000       23.7000        0          EIA0402             
R54                  TOP        23.4000       24.6000        0          EIA0402             
R55                  TOP        23.4000       25.4000        0          EIA0402             
R56                  TOP        23.4000       26.2000        0          EIA0402             
R57                  TOP        23.4000       27.0000        0          EIA0402             
R58                  TOP        23.4000       27.8000        0          EIA0402             
R59                  TOP        18.8000       19.1000      270          EIA0402             
R60                  TOP        19.6000       19.1000      270          EIA0402             
R61                  TOP        29.3370        3.6830      180          EIA0402             
R62                  TOP        26.4160        3.6830      180          EIA0402             
R63                  TOP        25.9080        8.5090      270          EIA0402             
R64                  TOP        29.2100        8.1280      180          EIA0402             
R65                  TOP        33.2740        7.7470      180          EIA0402             
R66                  TOP        36.0680        7.6200       90          EIA0402             
R67                  TOP        34.9250        3.6830      180          EIA0402             
R68                  TOP        32.2580        3.6830      180          EIA0402             
R1                   TOP        1.0934        11.7150      270          EIA0402             
R10                  TOP        28.0000       28.0000      180          EIA0402             
R19                  TOP        12.6522       28.5846        0          EIA0402             
R28                  TOP        38.7376       13.9018       90          EIA0402             
